id_salarié,Ancienneté_an,Distance domicile/Travail,Service,Work_accident,Niveau de satisfaction
16000206-8278,12.6,59,Marketing,Non,67
16011205-0331,11.8,31,Commercial,Oui,66
16020327-1465,11.9,65,RH,Non,59
16020701-3376,10.2,59,Compta Finances,Non,60
16020725-8401,7.9,59,Consultant,Non,34
16021124-8356,8.6,34,RH,Oui,84
16021125-4271,14.9,36,Commercial,Non,62
16030220-7121,6.3,23,Consultant,Non,69
16030828-8604,18.2,23,Commercial,Oui,54
16031007-1667,23.1,49,Commercial,Oui,31
16050210-5695,23.8,40,Consultant,Non,9
16050407-7405,6.7,7,RH,Non,35
16050619-6252,23.9,70,Commercial,Oui,38
16050721-8014,18.6,16,RH,Non,30
16060812-9664,20.5,61,Compta Finances,Oui,70
16080130-8107,24.1,28,Marketing,Non,54
16080411-7877,13.3,17,Consultant,Non,9
16080824-2457,15.2,62,Compta Finances,Non,96
16081104-1011,1.1,31,Compta Finances,Non,18
16081120-1045,9.1,46,Consultant,Non,7
16090206-9129,10.3,38,Consultant,Oui,25
16090608-0239,19.5,30,RH,Non,73
16090824-7661,9.9,48,Marketing,Non,17
16091122-3147,1.1,14,Consultant,Non,81
16100329-5753,7.9,27,RH,Oui,42
16100419-9707,5.2,5,RH,Non,62
16100424-1459,18.6,49,Compta Finances,Non,100
16100606-3398,10.3,11,Compta Finances,Oui,44
16100719-6502,16.5,47,Compta Finances,Non,53
16101212-2048,13.8,51,Commercial,Non,19
16110307-6129,13.8,63,Commercial,Oui,81
16111023-3358,13.1,19,Marketing,Oui,89
16111130-1717,16.2,69,Commercial,Oui,41
16130305-6954,24.7,30,Consultant,Non,51
16140409-8707,3.0,6,Commercial,Non,41
16141213-3603,4.6,51,Commercial,Oui,3
16160206-9161,6.2,61,Consultant,Non,24
16170310-5534,14.3,65,Compta Finances,Non,94
16170623-3887,16.2,19,RH,Non,15
16170926-3188,6.0,12,R&D,Oui,30
16181114-4680,12.5,53,Compta Finances,Non,55
16181212-5860,3.4,42,Consultant,Oui,60
16181217-7101,16.2,47,RH,Oui,98
16190724-3065,17.4,41,Consultant,Oui,68
16200506-8370,19.2,35,Commercial,Oui,74
16211102-1297,21.2,44,Consultant,Non,89
16220127-8625,16.9,65,Consultant,Oui,36
16220420-6227,24.2,62,Consultant,Oui,60
16220428-5924,7.0,29,Consultant,Non,68
16221207-5101,14.2,4,Consultant,Oui,42
16230105-6343,19.1,50,Consultant,Oui,99
16230523-1322,8.1,59,Compta Finances,Non,93
16230718-4297,24.8,44,Compta Finances,Oui,47
16231022-5566,6.4,68,RH,Oui,32
16240230-3065,19.0,13,RH,Non,3
16240920-3425,8.2,3,Commercial,Non,63
16241106-8329,6.7,20,Marketing,Oui,69
16241218-7045,7.2,28,Consultant,Oui,13
16250316-9381,15.8,68,Compta Finances,Oui,25
16260415-5834,4.2,39,R&D,Oui,32
16260907-1895,14.0,44,Marketing,Non,40
16270818-3112,4.4,43,RH,Non,20
16281009-4371,5.5,67,Compta Finances,Non,66
16290104-5498,7.9,28,R&D,Oui,77
16290605-1228,13.8,68,Marketing,Non,59
16290714-4014,6.6,58,Consultant,Non,92
16300407-2348,5.7,24,Consultant,Non,87
16300713-6405,7.2,59,Consultant,Oui,72
