,id_salarié,Ancienneté_an,Distance domicile/Travail,Service,Work_accident,Niveau de satisfaction
0,16000206-8278,12.6,59,Marketing,Non,67
1,16011205-0331,11.8,31,Commercial,Oui,66
2,16020327-1465,11.9,65,RH,Non,59
3,16020701-3376,10.2,59,Compta Finances,Non,60
4,16020725-8401,7.9,59,Consultant,Non,34
5,16021124-8356,8.6,34,RH,Oui,84
6,16021125-4271,14.9,36,Commercial,Non,62
7,16030220-7121,6.3,23,Consultant,Non,69
8,16030828-8604,18.2,23,Commercial,Oui,54
9,16031007-1667,23.1,49,Commercial,Oui,31
10,16050210-5695,23.8,40,Consultant,Non,9
11,16050407-7405,6.7,7,RH,Non,35
12,16050619-6252,23.9,70,Commercial,Oui,38
13,16050721-8014,18.6,16,RH,Non,30
14,16060812-9664,20.5,61,Compta Finances,Oui,70
15,16080130-8107,24.1,28,Marketing,Non,54
16,16080411-7877,13.3,17,Consultant,Non,9
17,16080824-2457,15.2,62,Compta Finances,Non,96
18,16081104-1011,1.1,31,Compta Finances,Non,18
19,16081120-1045,9.1,46,Consultant,Non,7
20,16090206-9129,10.3,38,Consultant,Oui,25
21,16090608-0239,19.5,30,RH,Non,73
22,16090824-7661,9.9,48,Marketing,Non,17
23,16091122-3147,1.1,14,Consultant,Non,81
24,16100329-5753,7.9,27,RH,Oui,42
25,16100419-9707,5.2,5,RH,Non,62
26,16100424-1459,18.6,49,Compta Finances,Non,100
27,16100606-3398,10.3,11,Compta Finances,Oui,44
28,16100719-6502,16.5,47,Compta Finances,Non,53
29,16101212-2048,13.8,51,Commercial,Non,19
30,16110307-6129,13.8,63,Commercial,Oui,81
31,16111023-3358,13.1,19,Marketing,Oui,89
32,16111130-1717,16.2,69,Commercial,Oui,41
33,16130305-6954,24.7,30,Consultant,Non,51
34,16140409-8707,3.0,6,Commercial,Non,41
35,16141213-3603,4.6,51,Commercial,Oui,3
36,16160206-9161,6.2,61,Consultant,Non,24
37,16170310-5534,14.3,65,Compta Finances,Non,94
38,16170623-3887,16.2,19,RH,Non,15
39,16170926-3188,6.0,12,R&D,Oui,30
40,16181114-4680,12.5,53,Compta Finances,Non,55
41,16181212-5860,3.4,42,Consultant,Oui,60
42,16181217-7101,16.2,47,RH,Oui,98
43,16190724-3065,17.4,41,Consultant,Oui,68
44,16200506-8370,19.2,35,Commercial,Oui,74
45,16211102-1297,21.2,44,Consultant,Non,89
46,16220127-8625,16.9,65,Consultant,Oui,36
47,16220420-6227,24.2,62,Consultant,Oui,60
48,16220428-5924,7.0,29,Consultant,Non,68
49,16221207-5101,14.2,4,Consultant,Oui,42
50,16230105-6343,19.1,50,Consultant,Oui,99
51,16230523-1322,8.1,59,Compta Finances,Non,93
